,Date,Open,High,Low,Close,Adj_Close,Volume
62,"Dec 16, 2022",136.69,137.65,133.73,134.51,134.30,"160,156,900"
63,"Dec 15, 2022",141.11,141.80,136.03,136.50,136.29,"98,931,900"
64,"Dec 14, 2022",145.35,146.66,141.16,143.21,142.99,"82,291,200"
65,"Dec 13, 2022",149.50,149.97,144.24,145.47,145.25,"93,886,200"
66,"Dec 12, 2022",142.70,144.50,141.06,144.49,144.27,"70,462,700"
67,"Dec 09, 2022",142.34,145.57,140.90,142.16,141.94,"76,097,000"
68,"Dec 08, 2022",142.36,143.52,141.10,142.65,142.43,"62,128,300"
69,"Dec 07, 2022",142.19,143.37,140.00,140.94,140.73,"69,721,100"
70,"Dec 06, 2022",147.07,147.30,141.92,142.91,142.69,"64,727,200"
71,"Dec 05, 2022",147.77,150.92,145.77,146.63,146.41,"68,826,400"
72,"Dec 02, 2022",145.96,148.00,145.65,147.81,147.58,"65,447,400"
73,"Dec 01, 2022",148.21,149.13,146.61,148.31,148.08,"71,250,400"
74,"Nov 30, 2022",141.40,148.72,140.55,148.03,147.80,"111,380,900"
75,"Nov 29, 2022",144.29,144.81,140.35,141.17,140.95,"83,763,800"
76,"Nov 28, 2022",145.14,146.64,143.38,144.22,144.00,"69,246,000"
77,"Nov 25, 2022",148.31,148.88,147.12,148.11,147.88,"35,195,900"
78,"Nov 23, 2022",149.45,151.83,149.34,151.07,150.84,"58,301,400"
79,"Nov 22, 2022",148.13,150.42,146.93,150.18,149.95,"51,804,100"
80,"Nov 21, 2022",150.16,150.37,147.72,148.01,147.78,"58,724,100"
81,"Nov 18, 2022",152.31,152.70,149.97,151.29,151.06,"74,829,600"
82,"Nov 17, 2022",146.43,151.48,146.15,150.72,150.49,"80,389,400"
83,"Nov 16, 2022",149.13,149.87,147.29,148.79,148.56,"64,218,300"
84,"Nov 15, 2022",152.22,153.59,148.56,150.04,149.81,"89,868,300"
85,"Nov 14, 2022",148.97,150.28,147.43,148.28,148.05,"73,374,100"
86,"Nov 11, 2022",145.82,150.01,144.37,149.70,149.47,"93,979,700"
87,"Nov 10, 2022",141.24,146.87,139.50,146.87,146.65,"118,854,000"
88,"Nov 09, 2022",138.50,138.55,134.59,134.87,134.66,"74,917,800"
89,"Nov 08, 2022",140.41,141.43,137.49,139.50,139.29,"89,908,500"
90,"Nov 07, 2022",137.11,139.15,135.67,138.92,138.71,"83,374,600"
91,"Nov 04, 2022",142.09,142.67,134.38,138.38,138.17,"140,814,800"
92,,,,,,,
93,"Nov 03, 2022",142.06,142.80,138.75,138.88,138.44,"97,918,500"
94,"Nov 02, 2022",148.95,152.17,145.00,145.03,144.57,"93,604,600"
95,"Nov 01, 2022",155.08,155.45,149.13,150.65,150.17,"80,379,300"
96,"Oct 31, 2022",153.16,154.24,151.92,153.34,152.85,"97,943,200"
97,"Oct 28, 2022",148.20,157.50,147.82,155.74,155.25,"164,762,400"
98,"Oct 27, 2022",148.07,149.05,144.13,144.80,144.34,"109,180,200"
